"# repeats per cell: 2000 for |T|=11, 300 for |T|=13, 100 for |T|=15; every question answered `No' independently with probability p"
strategy,strategy_code,|T|,p,1-p,minedKeys_min,minedKeys_max,minedKeys_avg,minedKeySize_min,minedKeySize_max,minedKeySize_avg,minKeys_min,minKeys_max,minKeys_avg,minKeySize_min,minKeySize_max,minKeySize_avg,keyQuestions_min,keyQuestions_max,keyQuestions_avg,questions_min,questions_max,questions_avg,keyRatio_min,keyRatio_max,keyRatio_avg,rounds_min,rounds_max,rounds_avg,ms_min,ms_max,ms_avg
LW-TD,topdown dfs,15,0.1,0.9,0,225,5.22,0,1837,43.1,0,225,5.22,0,1837,43.1,0,236,5.63,1,2476,57.4,0.0,0.18181818181818182,0.0125,1,237,6.62,0,12848,216.55
LW-TD,topdown dfs,15,0.2,0.8,0,267,19.17,0,1330,123.14,0,267,19.17,0,1330,123.14,0,279,20.68,1,1473,104.95,0.0,0.2896551724137931,0.0374,1,280,21.58,0,89063,2136.48
LW-TD,topdown dfs,15,0.3,0.7,0,315,33.41,0,1533,196.21,0,315,33.41,0,1533,196.21,0,326,36.94,1,1204,124.57,0.0,0.39344262295081966,0.1069,1,327,37.81,0,61786,4621.35
LW-TD,topdown dfs,15,0.4,0.6,0,137,23.53,0,772,116.86,0,137,23.53,0,772,116.86,0,149,27.29,1,375,66.86,0.0,0.5641025641025641,0.1374,1,149,28.13,0,72879,7516.04
LW-TD,topdown dfs,15,0.5,0.5,0,123,31.39,0,543,137.12,0,123,31.39,0,543,137.12,0,136,37.67,1,277,76.97,0.0,0.6179775280898876,0.2548,1,136,38.42,0,101451,16021.36
LW-TD,topdown dfs,15,0.6,0.4,0,83,24.79,0,378,98.92,0,83,24.79,0,378,98.92,0,97,32.5,1,174,54.0,0.0,0.78125,0.3775,1,97,33.13,0,110559,20883.63
LW-TD,topdown dfs,15,0.7,0.30000000000000004,0,78,23.18,0,275,74.76,0,78,23.18,0,275,74.76,0,91,32.92,1,137,46.61,0.0,0.8695652173913043,0.537,1,92,33.32,0,103211,34003.26
LW-TD,topdown dfs,15,0.8,0.20000000000000007,0,52,16.28,0,149,40.53,0,52,16.28,0,149,40.53,0,66,27.3,1,81,34.02,0.0,1.0,0.6643,1,67,27.56,0,92614,44040.64
LW-TD,topdown dfs,15,0.9,0.10000000000000009,0,47,9.49,0,134,17.76,0,47,9.49,0,134,17.76,0,60,22.38,1,71,24.82,0.0,1.0,0.8384,1,60,22.48,0,88985,57510.34
LW-TD,topdown dfs,15,1.0,1.1102230246251565E-16,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,16,16,16.0,16,16,16.0,1.0,1.0,1.0,16,16,16.0,52127,59763,58002.02
LW-TB,topdown bfs,11,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1.0,0,45,0.039
LW-TB,topdown bfs,11,0.1,0.9,0,4,0.1445,0,40,1.468,0,4,0.1445,0,40,1.468,0,6,0.231,1,18,2.2105,0.0,0.3333333333333333,0.018,1,3,1.1395,0,5,0.048
LW-TB,topdown bfs,11,0.2,0.8,0,8,0.4045,0,72,3.962,0,8,0.4045,0,72,3.962,0,18,0.7525,1,49,3.709,0.0,0.45454545454545453,0.0499,1,4,1.344,0,39,0.0905
LW-TB,topdown bfs,11,0.3,0.7,0,9,0.8225,0,81,7.798,0,9,0.8225,0,81,7.798,0,20,1.7455,1,42,5.843,0.0,0.5652173913043478,0.0975,1,4,1.6005,0,4,0.096
LW-TB,topdown bfs,11,0.4,0.6,0,14,1.553,0,124,14.1815,0,14,1.553,0,124,14.1815,0,38,3.7365,1,65,9.2995,0.0,0.6590909090909091,0.1629,1,5,1.917,0,5,0.198
LW-TB,topdown bfs,11,0.5,0.5,0,17,2.6365,0,149,23.27,0,17,2.6365,0,149,23.27,0,46,7.1645,1,80,14.3615,0.0,0.7021276595744681,0.2427,1,5,2.32,0,53,0.4175
LW-TB,topdown bfs,11,0.6,0.4,0,32,4.6395,0,258,39.1825,0,32,4.6395,0,258,39.1825,0,83,14.572,1,122,24.191,0.0,0.7727272727272727,0.3494,1,5,2.8265,0,6,0.435
LW-TB,topdown bfs,11,0.7,0.30000000000000004,0,35,7.9685,0,277,63.8355,0,35,7.9685,0,277,63.8355,0,139,29.3175,1,184,41.991,0.0,0.8389830508474576,0.4774,1,6,3.504,0,7,0.8495
LW-TB,topdown bfs,11,0.8,0.20000000000000007,0,65,14.5555,0,445,108.258,0,65,14.5555,0,445,108.258,0,292,68.0785,1,344,85.0875,0.0,0.8823529411764706,0.6342,1,6,4.4075,0,20,2.448
LW-TB,topdown bfs,11,0.9,0.10000000000000009,0,81,28.8225,0,497,188.2965,0,81,28.8225,0,497,188.2965,0,555,196.108,1,601,217.8395,0.0,0.9585987261146497,0.812,1,7,5.7825,0,46,9.8295
LW-TB,topdown bfs,11,1.0,1.1102230246251565E-16,11,11,11.0,11,11,11.0,11,11,11.0,11,11,11.0,2047,2047,2047.0,2047,2047,2047.0,1.0,1.0,1.0,11,11,11.0,226,356,273.479
LW-TB,topdown bfs,13,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1.0,0,2,0.0067
LW-TB,topdown bfs,13,0.1,0.9,0,3,0.1433,0,36,1.75,0,3,0.1433,0,36,1.75,0,5,0.2133,1,17,2.3233,0.0,0.29411764705882354,0.0141,1,3,1.13,0,2,0.01
LW-TB,topdown bfs,13,0.2,0.8,0,8,0.4633,0,89,5.4267,0,8,0.4633,0,89,5.4267,0,15,0.8633,1,36,4.1767,0.0,0.4838709677419355,0.0456,1,4,1.3467,0,2,0.03
LW-TB,topdown bfs,13,0.3,0.7,0,9,1.02,0,99,11.5567,0,9,1.02,0,99,11.5567,0,18,2.3067,1,44,7.6167,0.0,0.48,0.106,1,4,1.6933,0,4,0.08
LW-TB,topdown bfs,13,0.4,0.6,0,16,1.7567,0,170,19.39,0,16,1.7567,0,170,19.39,0,41,4.2333,1,79,10.7333,0.0,0.5757575757575758,0.149,1,4,1.8967,0,2,0.1433
LW-TB,topdown bfs,13,0.5,0.5,0,17,3.5833,0,183,38.4067,0,17,3.5833,0,183,38.4067,0,47,9.86,1,82,19.64,0.0,0.6923076923076923,0.2507,1,5,2.44,0,11,0.3667
LW-TB,topdown bfs,13,0.6,0.4,0,40,7.0333,0,396,72.3867,0,40,7.0333,0,396,72.3867,0,113,22.1233,1,168,36.63,0.0,0.7558139534883721,0.3659,1,5,3.01,0,12,0.8967
LW-TB,topdown bfs,13,0.7,0.30000000000000004,0,49,13.1333,0,478,129.83,0,49,13.1333,0,478,129.83,0,196,47.0567,1,255,67.17,0.0,0.8040540540540541,0.4922,1,6,3.7233,0,20,2.5267
LW-TB,topdown bfs,13,0.8,0.20000000000000007,0,101,25.9867,0,902,241.04,0,101,25.9867,0,902,241.04,0,397,115.4833,1,475,144.5433,0.0,0.8783269961977186,0.6383,1,6,4.62,0,66,8.4
LW-TB,topdown bfs,13,0.9,0.10000000000000009,0,173,55.6767,0,1396,465.45,0,173,55.6767,0,1396,465.45,0,925,353.8767,1,1014,393.3267,0.0,0.9329446064139941,0.7914,1,7,5.9567,0,196,43.5
LW-TB,topdown bfs,13,1.0,1.1102230246251565E-16,13,13,13.0,13,13,13.0,13,13,13.0,13,13,13.0,8191,8191,8191.0,8191,8191,8191.0,1.0,1.0,1.0,13,13,13.0,4341,5582,4870.3267
LW-TB,topdown bfs,15,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1.0,0,0,0.0
LW-TB,topdown bfs,15,0.1,0.9,0,3,0.24,0,42,3.39,0,3,0.24,0,42,3.39,0,4,0.39,1,19,3.77,0.0,0.21052631578947367,0.0235,1,3,1.23,0,2,0.02
LW-TB,topdown bfs,15,0.2,0.8,0,4,0.63,0,56,8.64,0,4,0.63,0,56,8.64,0,9,1.2,1,31,5.85,0.0,0.36363636363636365,0.0584,1,3,1.48,0,4,0.04
LW-TB,topdown bfs,15,0.3,0.7,0,9,1.07,0,116,14.18,0,9,1.07,0,116,14.18,0,23,2.55,1,55,8.52,0.0,0.5476190476190477,0.0924,1,4,1.65,0,12,0.15
LW-TB,topdown bfs,15,0.4,0.6,0,15,2.25,0,191,29.1,0,15,2.25,0,191,29.1,0,44,5.84,1,87,14.59,0.0,0.546875,0.1621,1,4,2.05,0,12,0.27
LW-TB,topdown bfs,15,0.5,0.5,0,25,5.03,0,303,63.23,0,25,5.03,0,303,63.23,0,77,14.54,1,133,28.52,0.0,0.6176470588235294,0.2817,1,5,2.71,0,13,0.81
LW-TB,topdown bfs,15,0.6,0.4,0,39,9.72,0,462,117.94,0,39,9.72,0,462,117.94,0,123,31.66,1,182,51.68,0.0,0.7169811320754716,0.3675,1,5,3.21,0,13,2.42
LW-TB,topdown bfs,15,0.7,0.30000000000000004,0,60,17.72,0,696,209.73,0,60,17.72,0,696,209.73,0,204,62.03,1,287,90.01,0.0,0.7766990291262136,0.4832,1,6,3.78,0,27,5.32
LW-TB,topdown bfs,15,0.8,0.20000000000000007,0,108,43.31,0,1181,483.32,0,108,43.31,0,1181,483.32,0,422,188.9,1,525,236.02,0.0,0.8520408163265306,0.7241,1,7,5.23,0,125,23.56
LW-TB,topdown bfs,15,0.9,0.10000000000000009,0,282,106.23,0,2824,1081.81,0,282,106.23,0,2824,1081.81,0,1628,649.23,1,1803,720.95,0.0,0.9223826714801444,0.7995,1,8,6.24,0,851,180.31
LW-TB,topdown bfs,15,1.0,1.1102230246251565E-16,15,15,15.0,15,15,15.0,15,15,15.0,15,15,15.0,32767,32767,32767.0,32767,32767,32767.0,1.0,1.0,1.0,15,15,15.0,78434,84147,81524.35
LW-BD,bottomup dfs,11,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,12,12,12.0,0.0,0.0,0.0,12,12,12.0,126,563,157.073
LW-BD,bottomup dfs,11,0.1,0.9,0,10,1.4335,0,84,8.5505,0,10,1.4335,0,84,8.5505,0,13,1.5945,1,51,15.929,0.0,1.0,0.175,1,44,14.463,0,285,129.4915
LW-BD,bottomup dfs,11,0.2,0.8,0,16,3.163,0,122,19.099,0,16,3.163,0,122,19.099,0,25,3.91,1,66,19.9495,0.0,1.0,0.3227,1,43,16.3045,0,227,90.6285
LW-BD,bottomup dfs,11,0.3,0.7,0,20,5.2825,0,144,31.089,0,20,5.2825,0,144,31.089,0,38,7.3395,1,89,24.3235,0.0,1.0,0.4884,1,55,17.4285,0,224,62.4065
LW-BD,bottomup dfs,11,0.4,0.6,0,39,7.0155,0,247,39.299,0,39,7.0155,0,247,39.299,0,57,10.86,1,116,27.158,0.0,1.0,0.6319,1,61,16.9135,0,213,41.512
LW-BD,bottomup dfs,11,0.5,0.5,1,52,9.0615,0,346,47.476,1,52,9.0615,0,346,47.476,1,110,15.5445,1,189,30.939,0.07692307692307693,1.0,0.7435,1,80,16.1115,0,198,25.52
LW-BD,bottomup dfs,11,0.6,0.4,1,71,10.2245,0,402,49.1025,1,71,10.2245,0,402,49.1025,1,153,19.446,1,223,32.3675,0.22727272727272727,1.0,0.8381,1,77,13.7375,0,185,15.0675
LW-BD,bottomup dfs,11,0.7,0.30000000000000004,1,109,10.361,0,575,43.3305,1,109,10.361,0,575,43.3305,1,255,22.098,1,346,31.61,0.42857142857142855,1.0,0.904,1,91,10.3885,0,176,7.4805
LW-BD,bottomup dfs,11,0.8,0.20000000000000007,1,125,7.1155,0,713,23.35,1,125,7.1155,0,713,23.35,1,399,16.842,1,492,21.116,0.6,1.0,0.9606,1,98,5.226,0,196,2.618
LW-BD,bottomup dfs,11,0.9,0.10000000000000009,1,92,2.2125,0,333,2.2125,1,92,2.2125,0,333,2.2125,1,349,3.8545,1,396,4.2765,0.6666666666666666,1.0,0.9886,1,48,1.4145,0,26,0.059
LW-BD,bottomup dfs,11,1.0,1.1102230246251565E-16,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1,1,1.0,0,0,0.0
LW-BD,bottomup dfs,13,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,14,14,14.0,0.0,0.0,0.0,14,14,14.0,2683,3510,3017.37
LW-BD,bottomup dfs,13,0.1,0.9,0,9,1.79,0,69,13.5767,0,9,1.79,0,69,13.5767,0,11,2.0533,1,51,20.25,0.0,1.0,0.17,1,42,18.3267,0,4420,2722.0167
LW-BD,bottomup dfs,13,0.2,0.8,0,15,3.9333,0,143,28.9167,0,15,3.9333,0,143,28.9167,0,23,4.9767,1,73,24.83,0.0,1.0,0.3736,1,58,20.19,0,4384,1752.7667
LW-BD,bottomup dfs,13,0.3,0.7,0,23,6.96,0,200,51.7867,0,23,6.96,0,200,51.7867,0,33,10.0133,1,97,33.1833,0.0,1.0,0.5095,1,65,23.6567,0,4523,1313.2367
